Latitude,Longitude
-27.896389,153.391667
-27.900278,153.389444
-27.902567,153.392731
-27.898056,153.389444
-27.900278,153.389722
-27.906733,153.392731
-27.896389,153.394167
-27.893863,153.38948
-27.895449,153.395126
-27.90077,153.389098
-27.901257,153.392446
-27.898736,153.39543
-27.896153,153.390075
-27.897384,153.392207
